epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6727181077003479,0.8766989707946777,0.0010000000474974513,0.8591253161430359,0.729815661907196,0.578920841217041,0.2319711595773697,0.5649678707122803,1.5249024629592896,0.0,0.0
1,0.6875,0.9080403447151184,0.0010000000474974513,0.7305234670639038,0.7241379022598267,0.65625,0.2319711595773697,0.5496736764907837,1.5304116010665894,0.0,0.0
2,0.754916787147522,0.932848334312439,0.0010000000474974513,0.6224663853645325,0.7988652586936951,0.7100353240966797,0.23317307233810425,0.5015100836753845,3.787353992462158,0.23950617015361786,0.23317307233810425
3,0.75,0.9215494990348816,0.0010000000474974513,0.6880977749824524,0.7666666507720947,0.71875,0.23317307233810425,0.4978364408016205,3.737640619277954,0.2383292317390442,0.23317307233810425
4,0.7824004292488098,0.9443581104278564,0.0010000000474974513,0.5656650066375732,0.8109956383705139,0.7476046681404114,0.28125,0.5792713165283203,2.200261116027832,0.2961992025375366,0.27163460850715637
5,0.84375,0.9602864384651184,0.0010000000474974513,0.46434256434440613,0.8333333134651184,0.78125,0.2992788553237915,0.5966721773147583,2.0410094261169434,0.32088521122932434,0.2788461446762085
6,0.8356026411056519,0.9602694511413574,0.0005000000237487257,0.47001221776008606,0.8572567701339722,0.8131618499755859,0.4014423191547394,0.697765052318573,2.0317025184631348,0.4300791621208191,0.39182692766189575
7,0.84375,0.9715169668197632,0.0005000000237487257,0.41235142946243286,0.8387096524238586,0.8125,0.40504807233810425,0.7010580897331238,2.018421173095703,0.4302788972854614,0.38942307233810425
8,0.8524962067604065,0.9698198437690735,0.0005000000237487257,0.4055984318256378,0.8669291138648987,0.8328290581703186,0.71875,0.9115456938743591,0.7629605531692505,0.7554348111152649,0.6682692170143127
9,0.90625,0.9762369394302368,0.0005000000237487257,0.3208863139152527,0.90625,0.90625,0.682692289352417,0.8933654427528381,0.8735188841819763,0.7194631099700928,0.6442307829856873
10,0.8585476279258728,0.9732269048690796,0.0005000000237487257,0.38328632712364197,0.8716675639152527,0.8408976197242737,0.536057710647583,0.7945849299430847,2.1324098110198975,0.5358444452285767,0.5300480723381042
11,0.84375,0.9718424677848816,0.0005000000237487257,0.4113486409187317,0.8709677457809448,0.84375,0.520432710647583,0.7768084406852722,2.3191111087799072,0.5217917561531067,0.5180288553237915
